,,scheduler,scheduler,scheduler,scheduler,lr1,lr1,lr1,lr1,lr2,lr2,lr2,lr2,weight_decay1,weight_decay1,weight_decay1,weight_decay1,weight_decay2,weight_decay2,weight_decay2,weight_decay2
,,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
arch_type,loss_function,,,,,,,,,,,,,,,,,,,,
convnext_base,CLASSIC_AT,0.48148148148148145,0.0,0.5091750772173156,27,0.0005104484782045299,0.000385765077377004,0.00047695587069607507,27,0.002351111448940271,0.0003561582138458752,0.00392235931845661,27,0.0016654178753710196,0.00047751184301655973,0.0021768434839014917,27,0.0017827848757477752,0.0006127349401923009,0.002208487662556343,27
convnext_base,TRADES_v2,0.7037037037037037,1.0,0.4653216269680751,27,0.0005314868181113228,0.000385765077377004,0.0004145096383300168,27,0.0038395829336669543,0.0032601392473334233,0.003705005741367961,27,0.0018395460239169926,0.00048096354537337677,0.0020294196980729083,27,0.0019156532356133338,0.001298843859025954,0.0019314644047490107,27
convnext_tiny,CLASSIC_AT,0.6,1.0,0.50709255283711,15,0.0014809899650652344,0.0006477598113791464,0.0026608734029193322,15,0.0027721764756735027,0.0026817281364868604,0.0030142360549639717,15,0.001683290327573092,0.00018308318127610826,0.002794799256285557,15,0.0011789496991690995,8.171278766251871e-05,0.0019205704787484605,15
convnext_tiny,TRADES_v2,0.5333333333333333,1.0,0.5163977794943222,15,0.0007580215940892222,0.0006176591919559785,0.0006790323056222651,15,0.003352098038645405,0.0031401363237461588,0.002373513621402608,15,0.001529492164740917,2.780160464938913e-05,0.002118850785470748,15,0.002088731872512194,0.001298843859025954,0.002375481702256787,15
deit_small,CLASSIC_AT,0.6363636363636364,1.0,0.504524979109513,11,0.00035251754849920585,0.00019675092732811177,0.00027296123168058363,11,0.0026734126278508906,0.0026900947323446386,0.0019947851339008633,11,0.002766087042844594,0.0004011668392282042,0.0035613834062640038,11,0.001304374233663414,0.0007622047419351692,0.0014717410432374671,11
deit_small,TRADES_v2,0.6363636363636364,1.0,0.504524979109513,11,0.00027121661919864127,0.00021306748753283612,0.00018487939517145525,11,0.004632656222670836,0.003601698830774201,0.003831119476623362,11,0.001473219806925232,0.00027307663690600463,0.002537519844099742,11,0.0015006000348034597,7.513870647601067e-05,0.0026942226536776047,11
resnet50,CLASSIC_AT,0.8181818181818182,1.0,0.40451991747794525,11,0.0015649582399908971,0.00042345911090525004,0.001911379144907301,11,0.0030935743310573412,0.0018064875597039452,0.0030609543337620235,11,0.0007143109506492045,4.023686699039714e-06,0.001536392919844554,11,0.001700896164646975,0.0002814723699638867,0.0024876342784130915,11
resnet50,TRADES_v2,0.8181818181818182,1.0,0.40451991747794525,11,0.002105414617234714,0.0005798468061966809,0.002297254846057717,11,0.002562574622413036,0.0019180653780121934,0.0020522551722188124,11,0.0019498282225075064,7.1457246032359e-05,0.0038510907462230405,11,0.002152736529561812,0.0018507187937083912,0.002391319764361092,11
vit_base,CLASSIC_AT,0.65625,1.0,0.48255870443481425,32,0.0006228118712250623,0.0002593548402215829,0.0010805127617371309,32,0.0024143636023877136,0.0005110590656265845,0.003692065766832248,32,0.0013458310743359933,0.00047751184301655973,0.0017971096201034253,32,0.0018955156759357455,0.001162429078256783,0.0020933835482054627,32
vit_base,TRADES_v2,0.4375,0.0,0.5040161287741853,32,0.00048657059981776,0.00011649764806769477,0.0012309257663512675,32,0.003077087543106397,0.00108788586798153,0.003882828467901442,32,0.0013322514708771407,0.0004078713670292121,0.00181701133714194,32,0.0008876080868609579,0.000163199185795073,0.0014755825621007048,32
vit_small,CLASSIC_AT,0.375,0.0,0.5,16,0.0027292356535096574,0.00036000487587969693,0.007150056832661947,16,0.003158270693706926,0.0008103874022295473,0.004186331299245552,16,0.0009261131601306973,0.00024960145626328715,0.0016546872729738904,16,0.001272180685317448,6.404876527635485e-05,0.0020304891147283786,16
vit_small,TRADES_v2,0.125,0.0,0.3415650255319866,16,0.0002717554411890655,0.0002277679541752995,0.00022996678199205787,16,0.00419508126851933,0.002011748148305965,0.004518040244639714,16,0.0009008907685011983,0.00039478153964220795,0.0015486697637417653,16,0.0007489970525403648,0.00020444969522589752,0.0010164398595033032,16
