,mean_total_neurons,mean_zero_fraction,mean_zero_count,mean_dormant_fraction,mean_dormant_count,mean_overactive_fraction,mean_overactive_count,std_total_neurons,std_zero_fraction,std_zero_count,std_dormant_fraction,std_dormant_count,std_overactive_fraction,std_overactive_count
convnext_base,21280.0,0.04713909776881337,1003.12,0.16301315791904927,3468.92,0.056382988765835765,1199.83,0.0,0.016901532234615838,359.6646015387114,0.03468653879175511,738.1295235932512,0.005286502159325758,112.4967603977999
convnext_base.fb_in22k,21280.0,0.043350563831627366,922.5,0.15766823284327983,3355.18,0.055629229433834554,1183.79,0.0,0.016659725330197238,354.5189557696457,0.03483015101503917,741.1856094123792,0.0053013947398229165,112.81367780548598
robust_convnext_base,21280.0,0.10311560172587633,2194.3,0.25716024450957775,5472.37,0.06880357179790736,1464.14,0.0,0.05294231155449208,1126.612386759528,0.07711495786038758,1641.006323296775,0.012327746601561995,262.3344437926518
convnext_tiny,8872.0,0.040628944989293814,360.46,0.12580252446234227,1116.12,0.04878494132310152,432.82,0.0,0.017428943338027147,154.62958449145492,0.0366884605638842,325.5000239631327,0.006506006524880269,57.72129243182277
convnext_tiny.fb_in22k,8872.0,0.062261045947670936,552.38,0.1749233542382717,1551.92,0.05735910717397928,508.89,0.0,0.020163348680659242,178.88922717704384,0.03987989665582246,353.8144338491577,0.0058243427930547535,51.673570613999566
robust_convnext_tiny,8872.0,0.18394386813044547,1631.95,0.3188942733407021,2829.23,0.0547756989300251,485.97,0.0,0.06259639757267445,555.3552444156803,0.06797069367824038,603.035999837489,0.0038911846501934718,34.52258825754523
robust_wideresnet_28_10,10106.0,0.002412428247043863,24.38,0.029793191850185394,301.09,0.015399762419983745,155.63,0.0,0.000455127815487381,4.599521714265517,0.002347086119052509,23.719652189692834,0.0011684325951332106,11.808179368556356
wideresnet_28_10,10106.0,0.00226598059409298,22.9,0.026761329993605615,270.45,0.008736394275911153,88.29,0.0,0.000831366067337403,8.401785524517987,0.001652476275933487,16.69992514953286,0.00035188094428958766,3.55610742244944
deit_small_patch16_224.fb_in1k,8170378.0,0.688956503868103,5629035.05,0.6998743671178818,5718238.12,0.08802213184535504,719174.09,0.0,0.002043648597698485,16697.380856514592,0.0023593106722700373,19276.44772684013,0.001520772840392549,12425.288638977367
robust_deit_small_patch16_224,8170378.0,0.6927571511268615,5660087.78,0.7059823340177536,5768142.5,0.0817117639631033,667616.0,0.0,0.005185385844276807,42366.56560534026,0.005419529931938167,44279.603482077386,0.0036624204763525646,29923.361247694083
vit_base_patch16_224.augreg_in1k,16340746.0,0.6877639895677566,11238576.69,0.6985253137350083,11414424.7,0.08915534451603889,1456864.84,0.0,0.0022436749813269192,36663.33961348721,0.002598902541471378,42467.94876339097,0.0017831344965046202,29137.755515729074
vit_base_patch16_224.augreg_in21k,16340746.0,0.6967483258247376,11385387.42,0.7088082444667816,11582455.5,0.08299589782953262,1356214.88,0.0,0.002103320203903995,34369.810994295556,0.002459405675247455,40188.50403224783,0.0012601681487766814,20592.086231501653
robust_vit_base_patch16_224,16340746.0,0.6847046172618866,11188584.22,0.6977641540765762,11401986.83,0.08591695502400398,1403947.14,0.0,0.008793615949333323,143694.25737854524,0.008791798148734715,143664.55299802072,0.004772402383011966,77984.62036748273
