,,clean_acc,clean_acc,clean_acc,clean_acc,clean_acc,clean_acc
dataset,,caltech101,dtd,fgvc-aircraft-2013b,flowers-102,oxford-iiit-pet,stanford_cars
backbone,loss_function,,,,,,
convnext_base,CLASSIC_AT,,0.68,0.11733333333333333,,,0.24466666666666667
convnext_base,TRADES_v2,,0.7206666666666667,0.24933333333333332,,,0.5793333333333334
convnext_base.clip_laion2b,CLASSIC_AT,,0.5626666666666666,0.30466666666666664,,,0.9026666666666666
convnext_base.clip_laion2b,TRADES_v2,,0.6,0.4653333333333333,,0.8686666666666667,0.88
convnext_base.clip_laion2b_augreg,CLASSIC_AT,,0.5653333333333334,0.2906666666666667,0.30133333333333334,0.7766666666666666,0.898
convnext_base.clip_laion2b_augreg,TRADES_v2,,,0.422,0.7293333333333333,0.802,0.8753333333333333
convnext_base.fb_in22k,CLASSIC_AT,,0.714,0.214,,,0.23133333333333334
convnext_base.fb_in22k,TRADES_v2,,0.6773333333333333,0.42533333333333334,,,0.648
convnext_tiny,CLASSIC_AT,0.966,0.508,0.06333333333333334,,0.7606666666666667,0.07466666666666667
convnext_tiny,TRADES_v2,0.9466666666666667,0.49,0.14466666666666667,0.8506666666666667,0.852,0.3606666666666667
convnext_tiny.fb_in22k,CLASSIC_AT,0.9706666666666667,0.6471111111111111,0.18533333333333332,,,0.194
convnext_tiny.fb_in22k,TRADES_v2,0.9673333333333334,0.5946666666666667,0.4146666666666667,0.9333333333333333,,0.544
deit_small_patch16_224.fb_in1k,CLASSIC_AT,0.9493333333333334,0.5606666666666666,0.076,0.38133333333333336,,0.15933333333333333
deit_small_patch16_224.fb_in1k,TRADES_v2,0.9473333333333334,,0.11466666666666667,,,0.374
robust_convnext_base,CLASSIC_AT,,0.49533333333333335,0.21,,,0.38
robust_convnext_base,TRADES_v2,,0.45866666666666667,0.07533333333333334,0.428,,0.356
robust_convnext_tiny,CLASSIC_AT,0.9626666666666667,0.51,0.09,,0.8606666666666667,0.224
robust_convnext_tiny,TRADES_v2,0.9553333333333334,0.46,0.25466666666666665,,0.878,0.31266666666666665
robust_deit_small_patch16_224,CLASSIC_AT,0.962,0.4826666666666667,0.13333333333333333,0.45866666666666667,,0.19866666666666666
robust_deit_small_patch16_224,TRADES_v2,0.9593333333333334,,0.18333333333333332,,0.8533333333333334,0.356
vit_base_patch16_224.augreg_in1k,CLASSIC_AT,,0.5306666666666666,0.010666666666666666,,0.7793333333333333,0.13066666666666665
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.9266666666666666,0.5346666666666666,0.114,0.04133333333333333,0.8653333333333333,0.24266666666666667
vit_base_patch16_224.augreg_in21k,CLASSIC_AT,,0.5306666666666666,0.012,,,0.006666666666666667
vit_base_patch16_224.augreg_in21k,TRADES_v2,,0.4166666666666667,0.01,0.6573333333333333,0.6766666666666666,0.264
vit_base_patch16_224.dino,CLASSIC_AT,,0.522,0.14533333333333334,,,0.226
vit_base_patch16_224.dino,TRADES_v2,,,0.18933333333333333,0.6633333333333333,0.8213333333333334,0.3373333333333333
vit_base_patch16_224.mae,CLASSIC_AT,,0.318,,,,0.04
vit_base_patch16_224.mae,TRADES_v2,0.86,0.3333333333333333,0.03666666666666667,,0.612,0.078
vit_base_patch16_224.orig_in21k,CLASSIC_AT,,0.5893333333333334,,,,0.26066666666666666
vit_base_patch16_224.orig_in21k,TRADES_v2,,0.6846666666666666,0.23733333333333334,,,0.38466666666666666
vit_base_patch16_224.sam_in1k,CLASSIC_AT,,0.5393333333333333,0.21466666666666667,0.474,,0.358
vit_base_patch16_224.sam_in1k,TRADES_v2,,0.6086666666666667,0.27266666666666667,,,0.506
vit_base_patch16_224_miil.in21k,CLASSIC_AT,,0.2693333333333333,0.02266666666666667,,,0.008666666666666666
vit_base_patch16_224_miil.in21k,TRADES_v2,0.8886666666666667,,0.064,0.7046666666666667,,0.08933333333333333
