,backbone,loss_function,total_sum,total_geom_mean,rank_total_sum,rank_total_geom_mean
7,convnext_base.fb_in22k,TRADES_v2,7.726,1.185647146675568,1.0,1.0
1,convnext_base,TRADES_v2,7.362,1.0602912646904603,2.0,3.0
3,convnext_base.clip_laion2b,TRADES_v2,7.108666666666666,1.1171391127071952,3.0,2.0
0,convnext_base,CLASSIC_AT,6.705166666666667,0.7575921555228448,4.0,18.0
5,convnext_base.clip_laion2b_augreg,TRADES_v2,6.683999999999999,1.0154838577077407,5.0,4.0
11,convnext_tiny.fb_in22k,TRADES_v2,6.682666666666666,1.008759063713601,6.0,5.0
6,convnext_base.fb_in22k,CLASSIC_AT,6.6098333333333334,0.7989823181751557,7.0,17.0
2,convnext_base.clip_laion2b,CLASSIC_AT,6.510666666666666,0.9778869070249978,8.0,8.0
33,vit_base_patch16_224.sam_in1k,TRADES_v2,6.211666666666667,0.9073083436598789,9.0,9.0
14,robust_convnext_base,CLASSIC_AT,6.157333333333334,0.9016821411868241,10.0,10.0
4,convnext_base.clip_laion2b_augreg,CLASSIC_AT,6.151166666666667,0.882777625637308,11.0,11.0
30,vit_base_patch16_224.orig_in21k,CLASSIC_AT,6.129333333333333,0.8365980046974453,12.0,13.0
31,vit_base_patch16_224.orig_in21k,TRADES_v2,6.110666666666667,0.8330541925090935,13.0,14.0
19,robust_deit_small_patch16_224,TRADES_v2,5.934,0.8286331407837022,14.0,16.0
17,robust_convnext_tiny,TRADES_v2,5.8759999999999994,0.8399194850104138,15.0,12.0
32,vit_base_patch16_224.sam_in1k,CLASSIC_AT,5.785333333333333,0.831462192167358,16.0,15.0
16,robust_convnext_tiny,CLASSIC_AT,5.5793333333333335,0.677827224319404,17.0,21.0
18,robust_deit_small_patch16_224,CLASSIC_AT,5.512666666666666,0.704827534697056,18.0,20.0
24,vit_base_patch16_224.augreg_in21k,CLASSIC_AT,5.327,0.2538695160379171,19.0,34.0
27,vit_base_patch16_224.dino,TRADES_v2,5.284666666666666,0.7128749260866278,20.0,19.0
13,deit_small_patch16_224.fb_in1k,TRADES_v2,5.222666666666667,0.6524814154490777,21.0,22.0
10,convnext_tiny.fb_in22k,CLASSIC_AT,5.21,0.6360628382788224,22.0,24.0
9,convnext_tiny,TRADES_v2,5.040333333333333,0.6335664472811651,23.0,25.0
26,vit_base_patch16_224.dino,CLASSIC_AT,5.013333333333334,0.636768939802961,24.0,23.0
15,robust_convnext_base,TRADES_v2,4.966,0.6299763984891482,25.0,26.0
12,deit_small_patch16_224.fb_in1k,CLASSIC_AT,4.796666666666667,0.5009418909248166,26.0,27.0
22,vit_base_patch16_224.augreg_in1k,CLASSIC_AT,4.464666666666667,0.3298524854292453,27.0,33.0
25,vit_base_patch16_224.augreg_in21k,TRADES_v2,4.392166666666666,0.3921624455474778,28.0,30.0
23,vit_base_patch16_224.augreg_in1k,TRADES_v2,4.375666666666667,0.40185596390139483,29.0,28.0
8,convnext_tiny,CLASSIC_AT,4.2955,0.39304871432396626,30.0,29.0
35,vit_base_patch16_224_miil.in21k,TRADES_v2,3.7298333333333336,0.37657448892630463,31.0,31.0
29,vit_base_patch16_224.mae,TRADES_v2,2.9006666666666665,0.37299338385212816,32.0,32.0
28,vit_base_patch16_224.mae,CLASSIC_AT,2.4746666666666663,0.19483514585145117,33.0,35.0
34,vit_base_patch16_224_miil.in21k,CLASSIC_AT,1.8019999999999998,0.14904908267111816,34.0,36.0
21,robust_vit_base_patch16_224,TRADES_v2,0.0,1.0,35.5,6.5
20,robust_vit_base_patch16_224,CLASSIC_AT,0.0,1.0,35.5,6.5
