,backbone,dataset,loss_function,restart_from,nb_trials,ft_strategy
112,coatnet_2_rw_224.sw_in12k,caltech101,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
125,convnext_base.fb_in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
130,convnext_base.fb_in22k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
131,robust_convnext_base,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
151,coatnet_2_rw_224.sw_in12k_ft_in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
152,coatnet_2_rw_224.sw_in12k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
159,coat_tiny.in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh,1,LP (50 epochs)
311,coatnet_2_rw_224.sw_in12k_ft_in1k,stanford_cars,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
312,coatnet_2_rw_224.sw_in12k,stanford_cars,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
319,coat_tiny.in1k,stanford_cars,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
351,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
352,coatnet_2_rw_224.sw_in12k,caltech101,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
359,coat_tiny.in1k,caltech101,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
365,convnext_base.fb_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
371,robust_convnext_base,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
391,coatnet_2_rw_224.sw_in12k_ft_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job1_hpo.sh,1,LP (50 epochs)
